Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest,1,1,1,1,12,2,9,0,1,8,8,0,,0,0,,,,18,1,,,,18,18,0,2,0,16,,271,,,,71,,,,190,,,38,131,14,,,,,,,71,94,24,,,72,,,,,,,,1,1,1,1,,1,0,,100,100,0.07,18,18,18,18
File,FormatadorLinhaDigitavel.java,2,2,2,1,19,3,14,2,,,,,2,1,1,6,,6,5,0,,,,6,,1,1,0,4,,146,,,,32,,,,101,,,50,72,23,,,,,,,54,68,43,,,56,,,,,,,,5,5,6,1,,,2,,,,0.23,13,13,16,6
File,ValidadorCPF.java,2,2,3,1,12,2,9,0,,,,,2,1,2,5,,5,4,0,,,,5,,1,2,0,2,,96,,,,24,,,,62,,,23,35,10,,,,,,,25,39,21,,,26,,,,,,,,4,4,5,4,,,2,,,,0.16,12,12,16,8
Public Class,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel,2,2,2,1,19,3,14,2,2,8,8,0,,1,0,,,,5,0,,,,6,6,1,1,0,4,,141,,,,30,,,,98,,,47,72,23,,,,,,,51,65,40,,,56,,,,,,,,5,5,6,1,,1,2,,0,0,0.23,13,13,16,6
Public Class,br.com.concrete.canarinho.validator.ValidadorCPF,2,2,3,1,12,2,9,0,2,10,10,0,,1,1,,,,4,0,,,,5,5,1,2,0,2,,88,,,,21,,,,57,,,19,35,10,,,,,,,21,35,17,,,26,,,,,,,,4,4,5,4,,1,2,,0,0,0.18,12,12,16,8
File,ValorMonetarioWatcher.java,1,1,1,1,10,1,5,3,,,,,2,0,0,9,,9,9,5,,,,9,,1,1,0,7,,134,,,,26,,,,73,,,32,31,35,,,,,,,34,49,27,,,25,,,,,,,,4,4,4,3,,,2,,,,0.48,14,14,14,11
File,FormatadorBase.java,2,2,2,1,10,1,7,1,,,,,1,0,0,6,,6,6,4,,,,6,,1,1,0,4,,92,,,,23,,,,57,,,23,22,12,,,,,,,23,36,15,,,22,,,,,,,,3,3,3,1,,,1,,,,0.21,12,12,13,6
File,ValidadorCPFCNPJ.java,2,2,2,1,7,1,6,0,,,,,2,1,1,5,,5,4,0,,,,5,,0,2,0,3,,55,,,,14,,,,40,,,14,16,1,,,,,,,14,26,12,,,16,,,,,,,,3,3,5,3,,,1,,,,0.03,10,10,13,7
Class,br.com.concrete.canarinho.formatador.FormatadorBase,2,2,2,1,10,1,7,1,2,5,5,0,,0,0,,,,6,4,,,,6,6,1,1,0,4,,87,,,,21,,,,54,,,20,22,12,,,,,,,20,33,12,,,22,,,,,,,,3,3,3,1,,1,1,,50,50,0.22,12,12,13,6
Public Class,br.com.concrete.canarinho.validator.ValidadorCPFCNPJ,2,2,2,1,7,1,6,0,2,10,10,0,,1,0,,,,4,0,,,,5,5,0,2,0,3,,48,,,,11,,,,36,,,11,16,1,,,,,,,11,23,9,,,16,,,,,,,,3,3,5,3,,1,1,,0,0,0.03,10,10,13,7
File,FormatadorCPFCNPJ.java,1,1,1,1,6,0,5,0,,,,,2,1,1,7,,7,6,0,,,,7,,1,2,0,4,,69,,,,15,,,,50,,,17,21,4,,,,,,,15,30,12,,,20,,,,,,,,3,3,3,3,,,1,,,,0.08,13,13,13,9
Public Class,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ,1,1,1,1,6,0,5,0,2,5,5,0,,1,0,,,,6,0,,,,7,7,1,2,0,4,,66,,,,14,,,,48,,,16,21,4,,,,,,,14,29,11,,,20,,,,,,,,3,3,3,3,,1,1,,0,0,0.08,13,13,13,9
File,FormatadorValor.java,2,2,2,1,8,1,6,1,,,,,2,1,6,6,,6,5,1,,,,6,,1,1,0,4,,112,,,,20,,,,77,,,37,40,15,,,,,,,39,51,29,,,30,,,,,,,,3,3,3,1,,,1,,,,0.19,12,12,12,6
Public Class,br.com.concrete.canarinho.formatador.FormatadorValor,2,2,2,1,8,1,6,1,2,12,12,0,,1,4,,,,5,1,,,,6,6,1,1,0,4,,100,,,,17,,,,68,,,28,40,15,,,,,,,30,42,20,,,30,,,,,,,,3,3,3,1,,1,1,,66,66,0.22,12,12,12,6
File,FormatadorBoleto.java,1,1,1,1,6,1,5,0,,,,,2,1,7,7,,7,6,0,,,,7,,1,2,0,4,,100,,,,25,,,,68,,,28,37,7,,,,,,,20,34,18,,,23,,,,,,,,2,2,2,1,,,1,,,,0.10,12,12,12,7
File,FormatadorTelefone.java,1,1,1,1,6,0,5,0,,,,,2,1,7,7,,7,6,0,,,,7,,1,2,0,4,,96,,,,21,,,,72,,,28,43,3,,,,,,,20,34,18,,,23,,,,,,,,2,2,2,1,,,1,,,,0.04,12,12,12,7
File,MascaraNumericaTextWatcher.java,1,1,1,1,11,1,5,4,,,,,2,0,0,7,,7,7,7,,,,7,,0,1,0,6,,120,,,,22,,,,56,,,25,22,42,,,,,,,31,43,24,,,21,,,,,,,,3,3,4,1,,,1,,,,0.75,10,10,12,7
Public Class,br.com.concrete.canarinho.formatador.FormatadorBoleto,1,1,1,1,6,1,5,0,2,6,6,0,,1,6,,,,6,0,,,,7,7,1,2,0,4,,96,,,,23,,,,66,,,26,37,7,,,,,,,18,32,16,,,23,,,,,,,,2,2,2,1,,1,1,,0,0,0.11,12,12,12,7
Public Class,br.com.concrete.canarinho.formatador.FormatadorTelefone,1,1,1,1,6,0,5,0,2,7,7,0,,1,6,,,,6,0,,,,7,7,1,2,0,4,,92,,,,19,,,,70,,,26,43,3,,,,,,,18,32,16,,,23,,,,,,,,2,2,2,1,,1,1,,0,0,0.04,12,12,12,7
Public Static Class,br.com.concrete.canarinho.DigitoPara.Builder,1,1,1,1,15,1,5,8,1,7,7,0,,0,0,,,,7,5,,,,7,7,0,0,0,7,,127,,,,17,,,,47,,,13,24,63,,,,,,,25,38,15,,,25,,,,,,,,3,3,3,1,,1,1,,77,77,1.34,11,11,11,7
Package,br.com.concrete.canarinho.test.watcher,1,1,1,1,9,1,8,0,,,,,3,0,0,,2,,11,3,,,,11,,0,0,0,11,,167,,,,35,,,,130,,,60,62,2,,,,,,,81,94,48,,,51,,,,,,,,1,1,1,1,,,0,,,,0.02,11,11,11,11
Public Class,br.com.concrete.canarinho.watcher.ValorMonetarioWatcher,1,1,1,1,11,1,7,2,2,10,10,0,,0,0,,,,6,3,,,,6,6,1,1,0,4,,122,,,,22,,,,65,,,24,31,35,,,,,,,26,41,19,,,25,,,,,,,,4,4,4,3,,1,2,,66,55,0.54,11,11,11,8
File,ValidadorCNPJ.java,2,2,2,1,11,2,8,0,,,,,2,1,2,4,,4,3,0,,,,4,,0,1,0,3,,74,,,,19,,,,49,,,21,27,6,,,,,,,19,29,18,,,19,,,,,,,,3,3,4,3,,,1,,,,0.12,8,8,10,6
Public Class,br.com.concrete.canarinho.DigitoPara,2,2,2,1,15,3,10,1,1,6,6,0,,0,0,,,,4,6,,,,4,4,0,3,0,1,,240,,,,38,,,,96,,,31,53,106,,,,,,,56,80,35,,,51,,,,,,,,6,6,6,1,,1,1,,50,50,1.10,10,10,10,4
Public Class,br.com.concrete.canarinho.validator.ValidadorCNPJ,2,2,2,1,11,2,8,0,2,10,10,0,,1,1,,,,3,0,,,,4,4,0,1,0,3,,66,,,,16,,,,44,,,17,27,6,,,,,,,15,25,14,,,19,,,,,,,,3,3,4,3,,1,1,,0,0,0.14,8,8,10,6
File,TesteFormatadorCPFCNPJ.java,1,1,1,1,22,4,17,1,,,,,1,0,0,6,,6,6,0,,,,6,,0,2,0,4,,159,,,,34,,,,117,,,20,86,8,,,,,,,86,97,15,,,82,,,,,,,,3,3,3,1,,,1,,,,0.07,10,10,10,6
File,ValidadorTelefone.java,1,1,2,1,8,1,6,0,,,,,2,1,1,4,,4,3,0,,,,4,,0,1,0,3,,51,,,,13,,,,37,,,14,17,1,,,,,,,12,21,12,,,12,,,,,,,,3,3,4,1,,,1,,,,0.03,7,7,10,4
Public Class,br.com.concrete.canarinho.test.TesteFormatadorCPFCNPJ,1,1,1,1,22,4,17,1,1,4,4,0,,0,0,,,,6,0,,,,6,6,0,2,0,4,,146,,,,30,,,,108,,,11,86,8,,,,,,,78,89,7,,,82,,,,,,,,3,3,3,1,,1,1,,0,0,0.07,10,10,10,6
Public Class,br.com.concrete.canarinho.validator.ValidadorTelefone,1,1,2,1,8,1,6,0,2,8,8,0,,1,0,,,,3,0,,,,4,4,0,1,0,3,,45,,,,10,,,,34,,,11,17,1,,,,,,,9,18,9,,,12,,,,,,,,3,3,4,1,,1,1,,0,0,0.03,7,7,10,4
File,TesteFormatadorCEP.java,1,1,1,1,10,1,8,0,,,,,1,0,0,6,,6,6,0,,,,6,,0,2,0,4,,88,,,,19,,,,65,,,20,35,4,,,,,,,37,47,15,,,32,,,,,,,,2,2,2,1,,,1,,,,0.06,9,9,9,6
File,TesteFormatadorCNPJ.java,1,1,1,1,12,1,9,0,,,,,1,0,0,6,,6,6,0,,,,6,,0,2,0,4,,98,,,,21,,,,73,,,20,43,4,,,,,,,45,55,15,,,40,,,,,,,,2,2,2,1,,,1,,,,0.05,9,9,9,6
File,TesteFormatadorCPF.java,1,1,1,1,13,2,11,0,,,,,1,0,0,6,,6,6,0,,,,6,,0,2,0,4,,108,,,,23,,,,81,,,20,51,4,,,,,,,53,63,15,,,48,,,,,,,,2,2,2,1,,,1,,,,0.05,9,9,9,6
File,ValidadorCEP.java,1,1,2,1,8,1,6,0,,,,,2,1,1,4,,4,3,0,,,,4,,0,1,0,3,,58,,,,15,,,,37,,,14,17,6,,,,,,,12,21,12,,,12,,,,,,,,3,3,4,1,,,1,,,,0.16,7,7,9,4
Public Class,br.com.concrete.canarinho.test.TesteFormatadorCEP,1,1,1,1,10,1,8,0,1,4,4,0,,0,0,,,,6,0,,,,6,6,0,2,0,4,,75,,,,15,,,,56,,,11,35,4,,,,,,,29,39,7,,,32,,,,,,,,2,2,2,1,,1,1,,0,0,0.07,9,9,9,6
Public Class,br.com.concrete.canarinho.test.TesteFormatadorCNPJ,1,1,1,1,12,1,9,0,1,4,4,0,,0,0,,,,6,0,,,,6,6,0,2,0,4,,85,,,,17,,,,64,,,11,43,4,,,,,,,37,47,7,,,40,,,,,,,,2,2,2,1,,1,1,,0,0,0.06,9,9,9,6
Public Class,br.com.concrete.canarinho.test.TesteFormatadorCPF,1,1,1,1,13,2,11,0,1,4,4,0,,0,0,,,,6,0,,,,6,6,0,2,0,4,,95,,,,19,,,,72,,,11,51,4,,,,,,,45,55,7,,,48,,,,,,,,2,2,2,1,,1,1,,0,0,0.06,9,9,9,6
Public Class,br.com.concrete.canarinho.validator.ValidadorCEP,1,1,2,1,8,1,6,0,2,8,8,0,,1,0,,,,3,0,,,,4,4,0,1,0,3,,52,,,,12,,,,34,,,11,17,6,,,,,,,9,18,9,,,12,,,,,,,,3,3,4,1,,1,1,,0,0,0.18,7,7,9,4
Protected Method,br.com.concrete.canarinho.watcher.BoletoBancarioTextWatcher.efetuaValidacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,,,,10,,,,31,,,5,24,0,,,,11,9,1,15,24,5,,,22,,,9,9,9,1,7,,,,,0,,3,0,,,0.00,9,9,9,1
